accession	strategy
GB_GCA_002708825.1	soxCD
GB_GCA_002709005.1	soxCD
GB_GCA_002709085.1	soxCD
GB_GCA_002709405.1	soxCD
GB_GCA_002709505.1	soxCD
GB_GCA_002709525.1	others
GB_GCA_002709775.1	soxCD
GB_GCA_002711145.1	others
GB_GCA_002714245.1	soxCD
GB_GCA_002714255.1	rDsr
GB_GCA_002717285.1	rDsr
GB_GCA_002717305.1	soxCD
GB_GCA_002718155.1	rDsr
GB_GCA_002722295.1	soxCD
GB_GCA_002725625.1	others
GB_GCA_002726395.1	soxCD
GB_GCA_002726415.1	rDsr
GB_GCA_002726655.1	soxCD
GB_GCA_002729195.1	rDsr
GB_GCA_002731015.1	soxCD
GB_GCA_002731875.1	soxCD
GB_GCA_002732845.1	rDsr
GB_GCA_002732955.1	both
GB_GCA_002732995.1	both
GB_GCA_002733105.1	soxCD
GB_GCA_002733135.1	soxCD
GB_GCA_002733465.1	soxCD
GB_GCA_002733685.1	soxCD
GB_GCA_002733885.1	others
GB_GCA_002733945.2	others
GB_GCA_002733955.1	soxCD
GB_GCA_002737415.1	soxCD
GB_GCA_002746395.1	both
GB_GCA_002746425.1	others
GB_GCA_002747035.1	soxCD
GB_GCA_002748265.1	soxCD
GB_GCA_002753155.1	rDsr
GB_GCA_002753495.1	rDsr
GB_GCA_002781745.1	others
GB_GCA_002840765.1	soxCD
GB_GCA_002840785.1	soxCD
GB_GCA_002840835.1	both
GB_GCA_002840845.1	rDsr
GB_GCA_002842215.1	both
GB_GCA_002869065.1	rDsr
GB_GCA_002869085.1	rDsr
GB_GCA_002869535.1	soxCD
GB_GCA_002869565.1	soxCD
GB_GCA_002869585.1	rDsr
GB_GCA_002878035.1	others
GB_GCA_002897615.1	others
GB_GCA_002897735.1	rDsr
GB_GCA_002897855.1	others
GB_GCA_002897935.1	others
GB_GCA_002897995.1	rDsr
GB_GCA_002898955.1	others
GB_GCA_002899765.1	others
GB_GCA_002928395.1	soxCD
GB_GCA_002928875.1	soxCD
GB_GCA_002928955.1	soxCD
GB_GCA_002938045.1	others
GB_GCA_002938315.1	others
GB_GCA_003062205.1	rDsr
GB_GCA_003104895.1	rDsr
GB_GCA_003105015.1	rDsr
GB_GCA_003140315.1	soxCD
GB_GCA_003149565.1	soxCD
GB_GCA_003152455.1	soxCD
GB_GCA_003153455.1	rDsr
GB_GCA_003153475.1	others
GB_GCA_003157035.1	rDsr
GB_GCA_003164045.1	soxCD
GB_GCA_003201935.1	soxCD
GB_GCA_003217735.2	soxCD
GB_GCA_003220265.1	others
GB_GCA_003220435.1	others
GB_GCA_003220495.1	others
GB_GCA_003220535.1	others
GB_GCA_003220675.1	others
GB_GCA_003220685.1	others
GB_GCA_003221515.1	others
GB_GCA_003221615.1	others
GB_GCA_003221635.1	others
GB_GCA_003221655.1	others
GB_GCA_003228915.1	rDsr
GB_GCA_003228955.1	rDsr
GB_GCA_003230545.1	others
GB_GCA_003232595.1	rDsr
GB_GCA_003232965.1	soxCD
GB_GCA_003233115.1	rDsr
GB_GCA_003241695.1	soxCD
GB_GCA_003241965.1	soxCD
GB_GCA_003242525.1	others
GB_GCA_003249215.1	soxCD
GB_GCA_003250175.1	others
GB_GCA_003251795.1	rDsr
GB_GCA_003252105.1	soxCD
GB_GCA_003252455.1	rDsr
GB_GCA_003265685.1	both
GB_GCA_003332035.1	soxCD
GB_GCA_003354135.1	rDsr
GB_GCA_003354145.1	rDsr
GB_GCA_003416895.1	soxCD
GB_GCA_003417655.1	others
GB_GCA_003428585.1	soxCD
GB_GCA_003448675.1	others
GB_GCA_003497545.1	soxCD
GB_GCA_003500955.1	soxCD
GB_GCA_003509785.1	others
GB_GCA_003510745.1	others
GB_GCA_003512825.1	soxCD
GB_GCA_003519965.1	rDsr
GB_GCA_003521845.1	soxCD
GB_GCA_003523085.1	soxCD
GB_GCA_003527225.1	soxCD
GB_GCA_003529705.1	rDsr
GB_GCA_003533975.1	others
GB_GCA_003536295.1	soxCD
GB_GCA_003545125.1	rDsr
GB_GCA_003565055.1	soxCD
GB_GCA_003576795.1	soxCD
GB_GCA_003577305.1	others
GB_GCA_003643835.1	soxCD
GB_GCA_003645455.1	rDsr
GB_GCA_003645495.1	soxCD
GB_GCA_003645535.1	soxCD
GB_GCA_003646175.1	rDsr
GB_GCA_003646355.1	others
GB_GCA_003694465.1	rDsr
GB_GCA_003695825.1	rDsr
GB_GCA_003696155.1	others
GB_GCA_003696705.1	soxCD
GB_GCA_003697125.1	soxCD
GB_GCA_003818495.1	others
GB_GCA_003963125.1	soxCD
GB_GCA_003963145.1	soxCD
GB_GCA_003963435.1	others
GB_GCA_003966565.1	rDsr
GB_GCA_003972985.1	rDsr
GB_GCA_003978375.1	others
GB_GCA_003978455.1	others
GB_GCA_003978675.1	others
GB_GCA_003978765.1	others
GB_GCA_003978875.1	others
GB_GCA_004005435.1	soxCD
GB_GCA_004144865.1	both
GB_GCA_004195025.1	others
GB_GCA_004212795.1	rDsr
GB_GCA_004291335.1	soxCD
GB_GCA_004293675.1	soxCD
GB_GCA_004297625.1	others
GB_GCA_004298015.1	soxCD
GB_GCA_004298065.1	rDsr
GB_GCA_004298465.1	soxCD
GB_GCA_004298665.1	soxCD
GB_GCA_004298675.1	soxCD
GB_GCA_004322085.1	soxCD
GB_GCA_004323595.1	rDsr
GB_GCA_004323695.1	others
GB_GCA_004357475.1	soxCD
GB_GCA_004359425.1	soxCD
GB_GCA_004379165.1	soxCD
GB_GCA_004799405.1	soxCD
GB_GCA_004799445.1	others
GB_GCA_005239165.1	soxCD
GB_GCA_005240145.1	soxCD
GB_GCA_005502805.1	soxCD
GB_GCA_005503085.1	soxCD
GB_GCA_005789825.1	soxCD
GB_GCA_005793295.1	soxCD
GB_GCA_005798775.1	soxCD
GB_GCA_005881355.1	others
GB_GCA_005881575.1	others
GB_GCA_005881595.1	others
GB_GCA_005882215.1	others
GB_GCA_005882235.1	others
GB_GCA_005882995.1	others
GB_GCA_005883655.1	others
GB_GCA_005883665.1	others
GB_GCA_005883675.1	others
GB_GCA_005884335.1	others
GB_GCA_005884455.1	others
GB_GCA_005884685.1	soxCD
GB_GCA_005884765.1	others
GB_GCA_005885285.1	others
GB_GCA_005887895.1	others
GB_GCA_005888925.1	others
GB_GCA_005889025.1	others
GB_GCA_006218025.1	rDsr
GB_GCA_006218045.1	rDsr
GB_GCA_006218055.1	rDsr
GB_GCA_006226775.1	soxCD
GB_GCA_006227825.1	soxCD
GB_GCA_006844635.1	soxCD
GB_GCA_006969625.1	others
GB_GCA_007118445.1	soxCD
GB_GCA_007126715.1	soxCD
GB_GCA_007280205.1	rDsr
GB_GCA_007280315.1	others
GB_GCA_007570905.1	rDsr
GB_GCA_007692585.1	soxCD
GB_GCA_007713595.1	rDsr
GB_GCA_007994965.1	soxCD
GB_GCA_008015155.1	rDsr
GB_GCA_008015455.1	soxCD
GB_GCA_008080515.1	rDsr
GB_GCA_008080565.1	soxCD
GB_GCA_008080595.1	others
GB_GCA_008087055.1	soxCD
GB_GCA_008107695.1	soxCD
GB_GCA_008107755.1	soxCD
GB_GCA_008501635.1	rDsr
GB_GCA_008727115.1	soxCD
GB_GCA_008923285.1	rDsr
GB_GCA_008923315.1	rDsr
GB_GCA_008932935.1	soxCD
GB_GCA_008933495.1	soxCD
GB_GCA_008933675.1	soxCD
GB_GCA_008933825.1	rDsr
GB_GCA_009377535.1	soxCD
GB_GCA_009469585.1	soxCD
GB_GCA_009646425.1	soxCD
GB_GCA_009650605.1	soxCD
GB_GCA_009659895.1	others
GB_GCA_009659925.1	others
GB_GCA_009692265.1	soxCD
GB_GCA_009693235.1	others
GB_GCA_009693325.1	soxCD
GB_GCA_009693345.1	soxCD
GB_GCA_009693505.1	soxCD
GB_GCA_009694185.1	soxCD
GB_GCA_009694265.1	soxCD
GB_GCA_009720755.1	soxCD
GB_GCA_009733745.1	soxCD
GB_GCA_009772935.1	soxCD
GB_GCA_009773635.1	soxCD
GB_GCA_009839635.1	rDsr
GB_GCA_009840595.1	others
GB_GCA_009841725.1	rDsr
GB_GCA_009846685.1	soxCD
GB_GCA_009886815.1	soxCD
GB_GCA_009908405.1	others
GB_GCA_009908505.1	soxCD
GB_GCA_009918225.1	others
GB_GCA_009919175.1	soxCD
GB_GCA_009920225.1	soxCD
GB_GCA_009920775.1	soxCD
GB_GCA_009921245.1	others
GB_GCA_009921265.1	soxCD
GB_GCA_009921765.1	soxCD
GB_GCA_009922705.1	soxCD
GB_GCA_009923315.1	soxCD
GB_GCA_009923345.1	soxCD
GB_GCA_009923505.1	soxCD
GB_GCA_009924525.1	soxCD
GB_GCA_009924775.1	soxCD
GB_GCA_009928125.1	soxCD
GB_GCA_009928645.1	rDsr
GB_GCA_009937505.1	others
GB_GCA_009937525.1	others
GB_GCA_009996515.1	soxCD
GB_GCA_010025385.1	rDsr
GB_GCA_010030205.1	others
GB_GCA_010365055.1	soxCD
GB_GCA_010365175.1	rDsr
GB_GCA_010365205.1	soxCD
GB_GCA_011049865.1	soxCD
GB_GCA_011050655.1	soxCD
GB_GCA_011050685.1	soxCD
GB_GCA_011051425.1	rDsr
GB_GCA_011051685.1	rDsr
GB_GCA_011051715.1	rDsr
GB_GCA_011051755.1	rDsr
GB_GCA_011051825.1	rDsr
GB_GCA_011052015.1	rDsr
GB_GCA_011052285.1	rDsr
GB_GCA_011087605.1	others
GB_GCA_011322365.1	others
GB_GCA_011330645.1	others
GB_GCA_011371455.1	others
GB_GCA_011372505.1	rDsr
GB_GCA_011374735.1	rDsr
GB_GCA_011375045.1	others
GB_GCA_011389885.1	rDsr
GB_GCA_011389895.1	soxCD
GB_GCA_011390055.1	both
GB_GCA_011390835.1	soxCD
GB_GCA_011391155.1	both
GB_GCA_011391215.1	rDsr
GB_GCA_011391255.1	both
GB_GCA_011391295.1	others
GB_GCA_011391495.1	both
GB_GCA_011391595.1	both
GB_GCA_011391645.1	both
GB_GCA_011391735.1	others
GB_GCA_011391745.1	soxCD
GB_GCA_011522975.1	soxCD
GB_GCA_011523045.1	rDsr
GB_GCA_011523655.1	others
GB_GCA_011525185.1	soxCD
GB_GCA_011620265.1	soxCD
GB_GCA_011620315.1	rDsr
GB_GCA_011772445.1	soxCD
GB_GCA_012026675.1	rDsr
GB_GCA_012032555.1	rDsr
GB_GCA_012103375.1	soxCD
GB_GCA_012103395.1	rDsr
GB_GCA_012103455.1	others
GB_GCA_012269655.1	others
GB_GCA_012270045.1	others
GB_GCA_012274165.1	others
GB_GCA_012274225.1	both
GB_GCA_012927445.1	soxCD
GB_GCA_012927455.1	soxCD
GB_GCA_012927485.1	both
GB_GCA_012959695.1	soxCD
GB_GCA_012960055.1	soxCD
GB_GCA_012960345.1	rDsr
GB_GCA_012960535.1	soxCD
GB_GCA_012960755.1	soxCD
GB_GCA_012961165.1	soxCD
GB_GCA_012961365.1	others
GB_GCA_012962365.1	rDsr
GB_GCA_013002205.1	soxCD
GB_GCA_013002405.1	soxCD
GB_GCA_013002465.1	soxCD
GB_GCA_013002595.1	soxCD
GB_GCA_013003075.1	soxCD
GB_GCA_013003245.1	soxCD
GB_GCA_013041975.1	rDsr
GB_GCA_013041995.1	soxCD
GB_GCA_013042105.1	soxCD
GB_GCA_013042605.1	soxCD
GB_GCA_013042835.1	both
GB_GCA_013042895.1	soxCD
GB_GCA_013044035.1	soxCD
GB_GCA_013139635.1	rDsr
GB_GCA_013140765.1	others
GB_GCA_013151035.1	rDsr
GB_GCA_013151055.1	soxCD
GB_GCA_013151175.1	others
GB_GCA_013151235.1	rDsr
GB_GCA_013151365.1	others
GB_GCA_013151535.1	both
GB_GCA_013151645.1	both
GB_GCA_013151785.1	others
GB_GCA_013151795.1	rDsr
GB_GCA_013152415.1	rDsr
GB_GCA_013152545.1	rDsr
GB_GCA_013153345.1	soxCD
GB_GCA_013153455.1	others
GB_GCA_013153495.1	others
GB_GCA_013153635.1	others
GB_GCA_013153675.1	others
GB_GCA_013153795.1	others
GB_GCA_013203955.1	others
GB_GCA_013204045.1	rDsr
GB_GCA_013204125.1	rDsr
GB_GCA_013204195.1	others
GB_GCA_013204265.1	rDsr
GB_GCA_013214575.1	soxCD
GB_GCA_013215505.1	soxCD
GB_GCA_013215945.1	soxCD
GB_GCA_013284265.1	others
GB_GCA_013297865.1	soxCD
GB_GCA_013297875.1	soxCD
GB_GCA_013297925.1	soxCD
GB_GCA_013297985.1	soxCD
GB_GCA_013298045.1	soxCD
GB_GCA_013298145.1	soxCD
GB_GCA_013298415.1	others
GB_GCA_013298695.1	soxCD
GB_GCA_013298765.1	soxCD
GB_GCA_013298815.1	soxCD
GB_GCA_013298945.1	soxCD
GB_GCA_013299055.1	soxCD
GB_GCA_013299175.1	soxCD
GB_GCA_013334925.1	rDsr
GB_GCA_013334975.1	others
GB_GCA_013335535.1	soxCD
GB_GCA_013349825.1	rDsr
GB_GCA_013362725.1	others
GB_GCA_013363835.1	soxCD
GB_GCA_013373175.1	soxCD
GB_GCA_013373205.1	soxCD
GB_GCA_013373515.1	soxCD
GB_GCA_013377015.1	soxCD
GB_GCA_013377085.1	soxCD
GB_GCA_013389025.1	rDsr
GB_GCA_013389055.1	others
GB_GCA_013416485.1	soxCD
GB_GCA_013426785.1	rDsr
GB_GCA_013607665.1	others
GB_GCA_013607775.1	others
GB_GCA_013693755.1	soxCD
GB_GCA_013696665.1	soxCD
GB_GCA_013697775.1	others
GB_GCA_013791855.1	rDsr
GB_GCA_013791905.1	rDsr
GB_GCA_013815685.1	soxCD
GB_GCA_013817205.1	others
GB_GCA_013817345.1	soxCD
GB_GCA_013817365.1	soxCD
GB_GCA_013821825.1	soxCD
GB_GCA_013821865.1	others
GB_GCA_013822265.1	soxCD
GB_GCA_013822885.1	soxCD
GB_GCA_013823325.1	soxCD
GB_GCA_013823505.1	others
GB_GCA_013823635.1	soxCD
GB_GCA_013823655.1	soxCD
GB_GCA_013823855.1	soxCD
GB_GCA_013824015.1	soxCD
GB_GCA_013824165.1	soxCD
GB_GCA_013911595.1	soxCD
GB_GCA_014138645.1	soxCD
GB_GCA_014190675.1	soxCD
GB_GCA_014239255.1	rDsr
GB_GCA_014239455.1	soxCD
GB_GCA_014239575.1	rDsr
GB_GCA_014304965.1	soxCD
GB_GCA_014323795.1	soxCD
GB_GCA_014323925.1	rDsr
GB_GCA_014359765.1	soxCD
GB_GCA_014359905.1	soxCD
GB_GCA_014376645.1	others
GB_GCA_014376915.1	soxCD
GB_GCA_014377155.1	soxCD
GB_GCA_014377905.1	soxCD
GB_GCA_014377915.1	soxCD
GB_GCA_014382345.1	rDsr
GB_GCA_014382375.1	rDsr
GB_GCA_014762505.1	others
GB_GCA_014762635.1	soxCD
GB_GCA_014762755.1	soxCD
GB_GCA_014763725.1	soxCD
GB_GCA_014763785.1	soxCD
GB_GCA_014764025.1	others
GB_GCA_014764075.1	others
GB_GCA_014859355.1	soxCD
GB_GCA_014859655.1	others
GB_GCA_014859695.1	others
GB_GCA_014859905.1	rDsr
GB_GCA_014860355.1	rDsr
GB_GCA_014860395.1	rDsr
GB_GCA_014860445.1	rDsr
GB_GCA_014872815.1	soxCD
GB_GCA_014872875.1	soxCD
GB_GCA_014874185.1	others
GB_GCA_014879655.1	soxCD
GB_GCA_014879745.1	others
GB_GCA_015075165.1	rDsr
GB_GCA_015075545.1	rDsr
GB_GCA_015075645.1	rDsr
GB_GCA_015222725.1	others
GB_GCA_015222805.1	soxCD
GB_GCA_015231265.1	rDsr
GB_GCA_015231605.1	rDsr
GB_GCA_015231795.1	rDsr
GB_GCA_015231865.1	rDsr
GB_GCA_015232335.1	rDsr
GB_GCA_015232865.1	rDsr
GB_GCA_015232955.1	rDsr
GB_GCA_015233785.1	rDsr
GB_GCA_015482705.2	rDsr
GB_GCA_015484595.1	others
GB_GCA_015484845.1	others
GB_GCA_015484905.1	others
GB_GCA_015485015.1	rDsr
GB_GCA_015485235.1	others
GB_GCA_015485375.1	both
GB_GCA_015486375.1	rDsr
GB_GCA_015486995.1	soxCD
GB_GCA_015487065.1	soxCD
GB_GCA_015487165.1	both
GB_GCA_015487265.1	others
GB_GCA_015487335.1	rDsr
GB_GCA_015487465.1	others
GB_GCA_015487615.1	others
GB_GCA_015487785.1	others
GB_GCA_015487815.1	soxCD
GB_GCA_015487835.1	others
GB_GCA_015487985.1	both
GB_GCA_015488075.1	others
GB_GCA_015488535.1	soxCD
GB_GCA_015488685.1	both
GB_GCA_015488875.1	others
GB_GCA_015490055.1	soxCD
GB_GCA_015490105.1	others
GB_GCA_015490155.1	others
GB_GCA_015490215.1	others
GB_GCA_015490315.1	others
GB_GCA_015491615.1	others
GB_GCA_015491895.1	soxCD
GB_GCA_015491955.1	soxCD
GB_GCA_015492115.1	others
GB_GCA_015492195.1	rDsr
GB_GCA_015494035.1	soxCD
GB_GCA_015494295.1	rDsr
GB_GCA_015494595.1	others
GB_GCA_015494795.1	others
GB_GCA_015519975.1	others
GB_GCA_015657635.1	soxCD
GB_GCA_015657735.1	soxCD
GB_GCA_015661465.1	others
GB_GCA_015661535.1	others
GB_GCA_015661795.1	others
GB_GCA_015663165.1	soxCD
GB_GCA_015663215.1	others
GB_GCA_015665415.1	soxCD
GB_GCA_015689645.1	soxCD
GB_GCA_015689685.1	soxCD
GB_GCA_015689735.1	soxCD
GB_GCA_015689745.1	soxCD
GB_GCA_015689775.1	soxCD
GB_GCA_015999985.1	soxCD
GB_GCA_016082275.1	soxCD
GB_GCA_016124535.1	others
GB_GCA_016124615.1	others
GB_GCA_016124745.1	rDsr
GB_GCA_016125475.1	others
GB_GCA_016125495.1	soxCD
GB_GCA_016179165.1	others
GB_GCA_016179925.1	others
GB_GCA_016183675.1	others
GB_GCA_016185015.1	soxCD
GB_GCA_016185115.1	soxCD
GB_GCA_016185205.1	soxCD
GB_GCA_016188005.1	others
GB_GCA_016191205.1	soxCD
GB_GCA_016191285.1	soxCD
GB_GCA_016191525.1	soxCD
GB_GCA_016191995.1	rDsr
GB_GCA_016192065.1	rDsr
GB_GCA_016192435.1	rDsr
GB_GCA_016192825.1	rDsr
GB_GCA_016192835.1	rDsr
GB_GCA_016194665.1	rDsr
GB_GCA_016194905.1	others
GB_GCA_016194935.1	rDsr
GB_GCA_016195095.1	soxCD
GB_GCA_016195145.1	others
GB_GCA_016195805.1	rDsr
GB_GCA_016195915.1	rDsr
GB_GCA_016195965.1	rDsr
GB_GCA_016199545.1	others
GB_GCA_016200085.1	others
GB_GCA_016200465.1	rDsr
GB_GCA_016200845.1	soxCD
GB_GCA_016200895.1	soxCD
GB_GCA_016201015.1	others
GB_GCA_016201045.1	soxCD
GB_GCA_016201645.1	others
GB_GCA_016202565.1	rDsr
GB_GCA_016208015.1	rDsr
GB_GCA_016208415.1	rDsr
GB_GCA_016208425.1	others
GB_GCA_016208975.1	rDsr
GB_GCA_016209635.1	others
GB_GCA_016210745.1	soxCD
GB_GCA_016213205.1	soxCD
GB_GCA_016213215.1	both
GB_GCA_016213335.1	rDsr
GB_GCA_016214125.1	rDsr
GB_GCA_016214145.1	rDsr
GB_GCA_016214175.1	others
GB_GCA_016214695.1	rDsr
GB_GCA_016214925.1	rDsr
GB_GCA_016215555.1	rDsr
GB_GCA_016215605.1	soxCD
GB_GCA_016215645.1	rDsr
GB_GCA_016219575.1	soxCD
GB_GCA_016223165.1	rDsr
