accession	Oxygen	pH	Salinity	Temperature
GB_GCA_001771935.1	aerobe	6.780271491	0.462785702	42.69876009
GB_GCA_001771985.1	anaerobe	6.88684449	0.539964455	44.28299489
GB_GCA_001772005.1	facultative	6.726917794	0	43.31353249
GB_GCA_001785115.1	aerobe	7.171512324	1.467208447	42.21710476
GB_GCA_001785195.1	aerobe	6.75521871	2.331978241	40.24181078
GB_GCA_001788395.1	anaerobe	7.256042739	0.838334171	44.66815045
GB_GCA_001788415.1	anaerobe	7.30976057	0.647332072	42.0053454
GB_GCA_001802655.1	aerobe	6.412749698	0.847453039	27.97869532
GB_GCA_001803815.1	anaerobe	6.504661818	0.271073508	43.55282574
GB_GCA_001828935.1	aerobe	6.87427266	0	29.90139863
GB_GCA_001830325.1	facultative	6.112544159	0	32.68765372
GB_GCA_001872285.1	anaerobe	6.581538483	0	38.05231661
GB_GCA_001874255.1	aerobe	7.854998698	3.444539564	26.08093893
GB_GCA_001890945.1	aerobe	7.835653443	3.250107563	25.5633541
GB_GCA_001897615.1	aerobe	7.53140301	0.910710532	35.96476319
GB_GCA_001897675.1	aerobe	6.526954471	0.185395777	29.90309765
GB_GCA_001897755.1	facultative	6.3961266	0.735942515	33.54507833
GB_GCA_001898115.1	facultative	7.361262702	0.373301477	31.86944642
GB_GCA_001898645.1	aerobe	7.077522611	0.559493253	39.56512848
GB_GCA_001898825.1	aerobe	6.405002667	1.354187942	26.87703034
GB_GCA_001898965.1	aerobe	7.06646027	0.492821634	35.83943923
GB_GCA_001899255.1	aerobe	6.518579639	1.13504616	30.8967248
GB_GCA_001899285.1	aerobe	6.665561104	1.617933918	34.54049781
GB_GCA_001899305.1	aerobe	5.899208463	1.171465852	30.63626538
GB_GCA_001899585.1	aerobe	6.517826766	0	27.87143197
GB_GCA_001899765.1	aerobe	6.20185049	1.092953935	30.84604073
GB_GCA_001899775.1	facultative	6.577440299	1.202509581	32.90174288
GB_GCA_001914535.1	anaerobe	7.126300922	0.958100936	45.63997405
GB_GCA_001917535.1	anaerobe	6.885923698	1.69204855	50.89299414
GB_GCA_001917585.1	aerobe	6.96443181	2.000790766	44.85518338
GB_GCA_001953215.1	aerobe	6.804806478	0	32.07726795
GB_GCA_002002705.1	aerobe	6.40431776	0	29.98255746
GB_GCA_002049495.1	anaerobe	6.635775634	4.584802216	36.21100331
GB_GCA_002083525.1	aerobe	7.251058811	0.624389455	31.59612177
GB_GCA_002083775.1	aerobe	7.121669947	0.06626669	23.75330543
GB_GCA_002101205.1	aerobe	7.649331538	2.363544002	20.16488373
GB_GCA_002101225.1	aerobe	7.33426744	2.004859296	22.53349588
GB_GCA_002101235.1	aerobe	7.071566272	2.557248086	25.15329915
GB_GCA_002162795.1	aerobe	7.828983867	3.420760051	21.9612826
GB_GCA_002162815.1	aerobe	7.425961784	2.209701397	25.1612791
GB_GCA_002162875.1	aerobe	7.509591215	2.09125067	25.28226398
GB_GCA_002166865.1	aerobe	8.151228588	6.172133757	33.51089844
GB_GCA_002171735.1	anaerobe	7.736431815	4.635144943	33.87418965
GB_GCA_002238645.1	facultative	7.539685317	4.033383512	35.40079706
GB_GCA_002238725.1	aerobe	7.221865311	2.872263848	38.78143893
GB_GCA_002255365.1	aerobe	5.544916678	1.605009664	43.95859442
GB_GCA_002255575.1	aerobe	5.101608557	0	23.37932341
GB_GCA_002255935.1	aerobe	7.279814624	0	22.69341264
GB_GCA_002256145.1	aerobe	7.283930715	0	21.74399507
GB_GCA_002256205.1	facultative	7.404341375	0	26.22349591
GB_GCA_002256345.1	aerobe	6.827298743	0.101718476	28.60139425
GB_GCA_002256785.1	facultative	6.62878278	0.91742958	29.85175306
GB_GCA_002256995.1	facultative	6.66540275	1.087045426	30.69043189
GB_GCA_002257045.1	facultative	6.367156152	0.806716817	27.29565239
GB_GCA_002278925.1	aerobe	7.357349059	0.112444078	27.2778326
GB_GCA_002279355.1	aerobe	4.816983661	0	24.23753447
GB_GCA_002279705.1	facultative	7.772349501	0.574979955	29.03022395
GB_GCA_002279795.1	aerobe	6.348352073	0.680460075	27.66763554
GB_GCA_002280515.1	aerobe	7.588512277	0.720902162	29.46660842
GB_GCA_002281005.1	aerobe	4.947162886	0	22.14870851
GB_GCA_002281755.1	anaerobe	6.50213032	1.660980921	27.9552709
GB_GCA_002281775.1	aerobe	6.546801807	0.450601983	28.35372972
GB_GCA_002282015.1	aerobe	6.576992518	2.43862465	23.7331854
GB_GCA_002282445.1	aerobe	6.418719102	0	23.35370718
GB_GCA_002292285.1	aerobe	6.939307441	3.123708257	28.18413591
GB_GCA_002292375.1	aerobe	7.412932157	3.872764233	25.21879547
GB_GCA_002292975.1	aerobe	6.69493259	0	33.31511161
GB_GCA_002293155.1	anaerobe	7.353842778	0.490153428	33.42134569
GB_GCA_002304505.1	aerobe	6.572084981	0	28.9340495
GB_GCA_002307905.1	aerobe	7.627295763	1.713697549	27.1967842
GB_GCA_002311915.1	anaerobe	7.413155003	2.395707241	31.95796187
GB_GCA_002331385.1	aerobe	6.707187806	0.367639724	30.66022381
GB_GCA_002339725.1	aerobe	6.566480392	0.977382066	38.30667628
GB_GCA_002342295.1	aerobe	7.158613201	0	30.625897
GB_GCA_002342365.1	aerobe	7.968893596	0	29.89303547
GB_GCA_002343685.1	aerobe	5.984033467	1.0821018	31.53604108
GB_GCA_002344885.1	aerobe	7.143678521	0.467666507	22.58429299
GB_GCA_002345845.1	aerobe	7.252008879	1.337888533	29.73110509
GB_GCA_002347285.1	aerobe	6.446190386	0.676067019	36.1555567
GB_GCA_002347405.1	aerobe	6.877636596	0.772682269	29.66723866
GB_GCA_002347615.1	aerobe	6.291143235	1.390300129	34.79505463
GB_GCA_002352425.1	aerobe	7.547098143	2.685810453	24.05714755
GB_GCA_002352635.1	anaerobe	7.056521661	3.846488045	33.93595682
GB_GCA_002359635.1	aerobe	7.616488149	0	27.59827311
GB_GCA_002360535.1	aerobe	6.19728071	1.374824286	32.96824874
GB_GCA_002366645.1	aerobe	7.469292808	1.985705354	27.90446775
GB_GCA_002366775.1	aerobe	7.478093	3.412181939	27.139027
GB_GCA_002366795.1	aerobe	7.397778503	3.484575113	24.10677236
GB_GCA_002367255.1	aerobe	7.194479114	1.877087144	28.47398425
GB_GCA_002367285.1	aerobe	7.256838352	3.804128939	21.30636691
GB_GCA_002381045.1	aerobe	7.204363107	0	23.05511843
GB_GCA_002389265.1	aerobe	7.897423903	1.892224908	23.76623365
GB_GCA_002390205.1	aerobe	7.286452394	1.654495018	23.037304
GB_GCA_002400675.1	anaerobe	7.788268278	2.134332612	22.6624995
GB_GCA_002400845.2	aerobe	7.239998225	1.915131388	21.58741598
GB_GCA_002401655.1	aerobe	8.113740872	2.765690756	15.30728532
GB_GCA_002401775.2	aerobe	7.474064906	2.836615325	18.8112699
GB_GCA_002401945.1	aerobe	7.607264902	3.570792003	26.10384468
GB_GCA_002402045.2	aerobe	7.818870284	0.709270403	24.67615815
GB_GCA_002403375.1	aerobe	6.516812556	1.575588514	34.09475954
GB_GCA_002403995.1	aerobe	5.823677827	0.120772199	27.85840271
GB_GCA_002414205.1	aerobe	5.769402162	0	30.3834855
GB_GCA_002422085.1	aerobe	7.478620015	0	26.59101033
GB_GCA_002424845.1	aerobe	6.507501688	1.590637541	30.60299015
GB_GCA_002425245.1	aerobe	7.345145237	0.839391417	29.01253
GB_GCA_002428015.1	aerobe	6.374858944	0	23.59363859
GB_GCA_002428885.1	aerobe	7.592517506	3.792613401	23.9959761
GB_GCA_002430125.1	aerobe	7.405156829	0.200382119	25.12666864
GB_GCA_002435715.1	aerobe	6.683762935	1.730018578	27.43497397
GB_GCA_002440665.1	aerobe	6.459843512	0.404191859	31.94200457
GB_GCA_002452425.1	anaerobe	6.467052299	2.181622528	28.20836211
GB_GCA_002452815.1	aerobe	7.19176492	1.216733467	29.28679501
GB_GCA_002454975.1	aerobe	7.33135075	0.334790475	25.44034692
GB_GCA_002456995.1	aerobe	7.484179224	4.451753499	32.71250933
GB_GCA_002457055.1	aerobe	7.591981773	1.558172773	27.07857523
GB_GCA_002469545.1	aerobe	7.414342132	2.47946861	22.93670041
GB_GCA_002470165.1	aerobe	7.324564177	2.026045878	31.68995058
GB_GCA_002470565.1	aerobe	7.765014189	1.083553898	22.58318646
GB_GCA_002478745.1	aerobe	7.835037171	1.683205145	24.55856034
GB_GCA_002631715.1	aerobe	7.303565543	7.306590826	45.47403929
GB_GCA_002632355.1	aerobe	6.240605562	1.118989704	28.09157172
GB_GCA_002633015.1	anaerobe	6.309276415	1.713549426	22.85932145
GB_GCA_002633085.1	aerobe	6.793219136	0.126190372	31.60778491
GB_GCA_002683335.1	aerobe	8.090960476	4.43184345	28.86077784
GB_GCA_002683405.1	aerobe	7.53737569	4.917882123	32.81374767
GB_GCA_002683655.1	aerobe	8.120029739	2.219567943	27.78531251
GB_GCA_002683685.1	aerobe	7.757512132	1.786830586	25.72117542
GB_GCA_002684375.1	aerobe	7.705330867	1.015265199	22.12844789
GB_GCA_002687515.1	aerobe	6.876782975	3.555620167	34.44093307
GB_GCA_002690705.1	aerobe	6.843214329	0.904538219	25.90781436
GB_GCA_002694065.1	aerobe	7.689463779	5.426607563	35.44356322
GB_GCA_002695005.1	aerobe	7.394486783	4.723804469	29.74530758
GB_GCA_002696205.1	aerobe	6.797590499	3.274368096	25.72301114
GB_GCA_002698425.1	aerobe	7.449144407	3.455199517	31.99482602
GB_GCA_002699185.1	aerobe	7.16181912	5.525851907	38.59159937
GB_GCA_002699695.2	aerobe	7.764122214	1.644266222	25.74201026
GB_GCA_002703405.1	aerobe	8.015866701	3.939730818	24.51970089
GB_GCA_002705795.1	anaerobe	7.38750023	2.173893549	27.9569068
GB_GCA_002706335.1	aerobe	7.344113329	3.184342914	31.51497818
GB_GCA_002706405.1	aerobe	6.599611478	2.202544719	27.45941923
GB_GCA_002706605.1	aerobe	7.610568552	3.351742524	25.43601632
GB_GCA_002707605.1	aerobe	7.406577136	4.182965819	29.00138425
GB_GCA_002708825.1	aerobe	7.475066699	3.412845132	30.33987052
GB_GCA_002709005.1	aerobe	7.448509684	3.647710945	28.29108673
GB_GCA_002709085.1	aerobe	7.624988913	4.27662374	23.93165019
GB_GCA_002709405.1	aerobe	7.831123495	3.745239237	27.89945914
GB_GCA_002709505.1	aerobe	7.579129464	3.600706538	27.22241916
GB_GCA_002709525.1	aerobe	6.888224883	2.779191936	26.15842583
GB_GCA_002709775.1	aerobe	7.362076725	3.883337598	27.94835892
GB_GCA_002711145.1	aerobe	7.814988404	1.968474059	28.40078194
GB_GCA_002714245.1	anaerobe	7.339010964	0.705685124	27.66820974
GB_GCA_002714255.1	aerobe	7.403944771	1.860289045	31.03700392
GB_GCA_002717285.1	aerobe	7.542023831	2.321740728	21.08171588
GB_GCA_002717305.1	aerobe	7.490379315	4.24637232	28.23108265
GB_GCA_002718155.1	aerobe	7.668814573	3.634048347	33.88906479
GB_GCA_002722295.1	aerobe	7.399908963	3.430328205	29.0087006
GB_GCA_002725625.1	aerobe	6.54308302	2.940919071	35.96721747
GB_GCA_002726415.1	anaerobe	7.308812018	3.75046174	33.3956117
GB_GCA_002726655.1	aerobe	7.682420438	3.541850108	32.94006813
GB_GCA_002729195.1	anaerobe	7.455479857	3.422818665	34.70305875
GB_GCA_002731015.1	anaerobe	7.476123915	1.479729738	27.64887061
GB_GCA_002731875.1	aerobe	7.450264599	3.501532171	24.99702626
GB_GCA_002732845.1	anaerobe	6.705022724	3.089899717	21.62253321
GB_GCA_002732955.1	aerobe	7.699788243	1.191032359	26.73918665
GB_GCA_002732995.1	aerobe	7.51036493	2.276319205	27.07952783
GB_GCA_002733105.1	aerobe	7.570270101	3.47002709	30.81654536
GB_GCA_002733135.1	aerobe	7.522661437	3.188775246	25.14596213
GB_GCA_002733465.1	aerobe	7.984502874	3.498250517	16.78717371
GB_GCA_002733685.1	aerobe	6.797018404	2.827760912	22.9544204
GB_GCA_002733885.1	aerobe	6.924672863	2.332961445	27.6996949
GB_GCA_002733945.2	aerobe	6.500562532	2.465341082	23.69135229
GB_GCA_002733955.1	aerobe	7.533548023	3.082202136	25.92157506
GB_GCA_002737415.1	aerobe	7.322643733	0	28.93772006
GB_GCA_002746395.1	aerobe	7.663274553	1.296949545	28.49262925
GB_GCA_002746425.1	aerobe	7.777731281	3.659560698	24.62859737
GB_GCA_002747035.1	aerobe	7.169319993	3.511633308	27.35143342
GB_GCA_002748265.1	aerobe	7.558842115	3.192804943	28.88237986
GB_GCA_002753155.1	anaerobe	6.800102687	0.477422411	25.6866326
GB_GCA_002753495.1	anaerobe	6.334197104	1.879544339	25.79804557
GB_GCA_002781745.1	anaerobe	6.749460389	2.649741218	28.59540496
GB_GCA_002840765.1	aerobe	7.382646388	0.747279215	29.02154622
GB_GCA_002840785.1	aerobe	6.564334904	0.907593207	27.9508173
GB_GCA_002840835.1	aerobe	7.318739893	0.523714098	27.45277676
GB_GCA_002840845.1	anaerobe	6.751404681	1.013452963	36.63935591
GB_GCA_002842215.1	aerobe	7.105965736	1.044373046	26.37007312
GB_GCA_002869065.1	aerobe	7.094295833	4.267033539	29.97997825
GB_GCA_002869085.1	aerobe	6.93585552	3.058513158	32.18941903
GB_GCA_002869535.1	aerobe	6.656926878	3.342271337	31.1897928
GB_GCA_002869565.1	aerobe	6.657488456	3.179629034	29.51870465
GB_GCA_002869585.1	anaerobe	7.245104901	4.611600602	34.47365866
GB_GCA_002878035.1	facultative	6.479706372	0	69.68799059
GB_GCA_002897615.1	anaerobe	6.398983342	0	38.31135327
GB_GCA_002897735.1	anaerobe	5.939316595	2.628438601	48.54373395
GB_GCA_002897855.1	anaerobe	6.429549495	0.435581397	39.44683106
GB_GCA_002897935.1	anaerobe	6.579193323	0.792251886	46.84847634
GB_GCA_002897995.1	anaerobe	7.547103272	2.966096577	35.45974356
GB_GCA_002898955.1	aerobe	7.912901469	2.444158264	66.03228038
GB_GCA_002899765.1	anaerobe	6.697363134	2.148805301	26.08463198
GB_GCA_002928395.1	aerobe	7.306168018	1.075565534	30.75692206
GB_GCA_002928875.1	aerobe	8.059943197	0.714568967	33.48615282
GB_GCA_002928955.1	aerobe	7.307476602	0.596109275	28.78185902
GB_GCA_002938045.1	anaerobe	6.791504283	1.602083792	30.9341881
GB_GCA_002938315.1	aerobe	6.858075303	2.632849178	30.91683656
GB_GCA_003062205.1	anaerobe	7.382797102	4.153394373	38.71776216
GB_GCA_003104895.1	aerobe	6.484032383	0.725843974	31.53499987
GB_GCA_003105015.1	aerobe	6.603230805	1.149236291	35.73376018
GB_GCA_003140315.1	aerobe	6.902602291	0.719030925	36.07805716
GB_GCA_003149565.1	aerobe	7.824605179	3.897485862	29.49609394
GB_GCA_003152455.1	aerobe	6.280529287	0.785954459	38.21422943
GB_GCA_003153455.1	aerobe	6.58073857	0	40.84698234
GB_GCA_003153475.1	aerobe	6.457805924	0	35.07987362
GB_GCA_003157035.1	anaerobe	6.034233578	0	25.648662
GB_GCA_003164045.1	aerobe	5.45777004	0	34.50683357
GB_GCA_003217735.2	aerobe	7.307711367	3.050375773	28.03124795
GB_GCA_003220265.1	aerobe	7.104896593	1.641011963	41.565705
GB_GCA_003220435.1	aerobe	6.845478083	1.028851655	40.91435575
GB_GCA_003220495.1	aerobe	7.204013125	1.750014738	42.60579406
GB_GCA_003220535.1	aerobe	7.041809169	0.988471236	41.49058629
GB_GCA_003220675.1	aerobe	7.25766602	1.083587069	45.28937648
GB_GCA_003220685.1	aerobe	7.08481792	1.245079131	42.72463525
GB_GCA_003221515.1	aerobe	6.992146387	1.125848453	42.25788264
GB_GCA_003221615.1	aerobe	7.112091293	1.4330327	41.27526717
GB_GCA_003221635.1	aerobe	7.175766255	1.339882585	42.97271533
GB_GCA_003221655.1	aerobe	7.273062337	1.458483983	43.65007242
GB_GCA_003228915.1	aerobe	7.357712412	2.231925322	28.80981871
GB_GCA_003228955.1	anaerobe	7.508917348	1.806131566	32.82135682
GB_GCA_003230545.1	aerobe	7.281841459	4.031524889	30.80313799
GB_GCA_003232595.1	aerobe	8.189109241	2.16808061	27.55067035
GB_GCA_003232965.1	aerobe	8.03004057	2.380713342	22.46783665
GB_GCA_003233115.1	aerobe	7.443189912	1.958438274	29.43411799
GB_GCA_003241695.1	aerobe	6.774163827	0.667476849	35.0144153
GB_GCA_003241965.1	aerobe	7.354393693	0.020758849	26.38226757
GB_GCA_003242525.1	aerobe	7.518717124	1.830944785	38.39749409
GB_GCA_003249215.1	aerobe	7.197670747	0	30.05882345
GB_GCA_003250175.1	anaerobe	6.099960402	2.850923473	30.59901041
GB_GCA_003251795.1	aerobe	6.765367311	2.881605317	41.58798945
GB_GCA_003252105.1	aerobe	6.770017417	3.988423648	32.46868241
GB_GCA_003252455.1	aerobe	6.613937064	3.224904048	26.4509051
GB_GCA_003265685.1	facultative	7.362094383	0.718839819	32.46262874
GB_GCA_003332035.1	aerobe	7.413371223	1.635255387	30.34031961
GB_GCA_003354135.1	anaerobe	7.065890067	3.952521866	30.82738186
GB_GCA_003354145.1	aerobe	7.848163132	4.094695836	25.96100999
GB_GCA_003416895.1	aerobe	6.736098149	0	24.1412634
GB_GCA_003417655.1	aerobe	7.859507202	5.556211559	29.86930345
GB_GCA_003428585.1	aerobe	8.087716935	3.914054651	28.47483336
GB_GCA_003565055.1	aerobe	8.392838869	3.222456828	29.06789686
GB_GCA_003576795.1	aerobe	7.066030656	2.954326051	42.99885603
GB_GCA_003577305.1	aerobe	7.242044277	1.327349816	41.28499564
GB_GCA_003643835.1	aerobe	7.54752992	5.290441061	22.93342043
GB_GCA_003645455.1	aerobe	7.060574323	4.056729287	25.82591621
GB_GCA_003645495.1	aerobe	7.531352225	3.997412075	29.77617145
GB_GCA_003645535.1	aerobe	7.138465038	2.853101638	28.49662302
GB_GCA_003646175.1	facultative	7.865202123	2.417728253	31.69731656
GB_GCA_003646355.1	aerobe	7.548491812	1.713222934	26.4218899
GB_GCA_003694465.1	aerobe	7.047210623	2.352811473	39.56345709
GB_GCA_003695825.1	aerobe	6.902937797	3.888459458	55.10436382
GB_GCA_003696155.1	anaerobe	6.436308009	0.109452721	74.40705438
GB_GCA_003696705.1	aerobe	7.399165808	2.087223723	43.78387119
GB_GCA_003697125.1	aerobe	7.662306895	0.535933627	43.67497313
GB_GCA_003818495.1	aerobe	7.445558449	0.385887546	35.47687261
GB_GCA_003963125.1	aerobe	7.119043943	0.200318061	32.33011458
GB_GCA_003963145.1	aerobe	6.484045574	0.3246678	31.74230842
GB_GCA_003963435.1	aerobe	6.760576767	0.385761108	32.84624512
GB_GCA_003966565.1	anaerobe	6.154238629	0	42.00118557
GB_GCA_003972985.1	anaerobe	7.009361945	3.882529578	49.30424125
GB_GCA_003978375.1	aerobe	7.027300088	2.711926452	24.75415982
GB_GCA_003978455.1	aerobe	6.514950375	3.987548404	40.75098062
GB_GCA_003978675.1	aerobe	6.659514306	1.581315617	65.84331554
GB_GCA_003978765.1	anaerobe	6.640256349	3.7664958	50.71862779
GB_GCA_003978875.1	anaerobe	6.454644257	0.240381308	78.22489636
GB_GCA_004005435.1	aerobe	7.911982016	2.820955698	32.62325544
GB_GCA_004144865.1	aerobe	7.162052153	1.28201659	37.47542492
GB_GCA_004195025.1	aerobe	3.344293233	0.458956801	34.55003812
GB_GCA_004212795.1	anaerobe	7.783722202	2.878005751	26.97867074
GB_GCA_004291335.1	aerobe	7.676564666	0	21.22060453
GB_GCA_004293675.1	aerobe	7.838365392	0	17.78778828
GB_GCA_004297625.1	aerobe	6.904394599	1.274988338	45.51198949
GB_GCA_004298015.1	aerobe	5.527762699	1.271902066	27.1976462
GB_GCA_004298065.1	aerobe	6.90290003	2.811689196	37.25172547
GB_GCA_004298465.1	aerobe	5.302739231	1.060430616	29.33570871
GB_GCA_004298665.1	aerobe	5.321471608	0.931788422	40.6717833
GB_GCA_004298675.1	aerobe	5.25187865	0	41.98168436
GB_GCA_004322085.1	aerobe	6.33919914	0	29.33362854
GB_GCA_004323595.1	anaerobe	6.448848873	0.176495626	40.60738469
GB_GCA_004323695.1	aerobe	6.055555763	0.693850725	30.86366274
GB_GCA_004357475.1	aerobe	7.595855242	3.665416327	31.76400472
GB_GCA_004359425.1	facultative	7.544923635	0.202841111	23.85399995
GB_GCA_004379165.1	aerobe	6.929048927	0.460567219	30.05313028
GB_GCA_004799405.1	aerobe	6.708740263	0.274015418	32.64931277
GB_GCA_004799445.1	aerobe	6.644196657	0.318667452	29.6052007
GB_GCA_005239165.1	aerobe	7.23672687	1.538445576	25.56153437
GB_GCA_005240145.1	aerobe	7.429341462	0	35.35380761
GB_GCA_005502805.1	facultative	7.573390952	0.566820159	30.24062862
GB_GCA_005503085.1	facultative	7.441121418	0	26.11915239
GB_GCA_005789825.1	aerobe	6.923351423	0	22.87445277
GB_GCA_005793295.1	aerobe	6.820282398	0	22.6173136
GB_GCA_005798775.1	aerobe	7.522947802	0	29.42917741
GB_GCA_005881355.1	aerobe	6.775625725	0.608412957	42.40786968
GB_GCA_005881575.1	aerobe	6.846508564	0.165434568	42.30862009
GB_GCA_005881595.1	aerobe	7.155026987	0.670007762	44.85304561
GB_GCA_005882215.1	aerobe	6.57419474	0.681797301	36.88285154
GB_GCA_005882235.1	aerobe	6.90782103	0.171378982	39.67360039
GB_GCA_005882995.1	aerobe	6.545850965	0.150943194	37.54033419
GB_GCA_005883655.1	aerobe	6.720736913	0	33.87010847
GB_GCA_005883665.1	aerobe	6.878169334	0.831277935	41.4021995
GB_GCA_005883675.1	aerobe	6.627228527	1.001874468	46.40674688
GB_GCA_005884335.1	aerobe	6.832487398	0.373327257	41.59366553
GB_GCA_005884455.1	aerobe	6.594426665	0.156598398	41.8007489
GB_GCA_005884685.1	aerobe	6.76410447	1.122083193	37.87856198
GB_GCA_005884765.1	aerobe	6.698837084	0.678337405	31.42132156
GB_GCA_005885285.1	aerobe	6.700877078	0.609109686	33.68690335
GB_GCA_005887895.1	aerobe	6.956879635	1.691568765	41.41025196
GB_GCA_005888925.1	aerobe	6.986978816	0.598062267	44.0044376
GB_GCA_005889025.1	aerobe	6.735742693	0.066652885	35.17569726
GB_GCA_006218025.1	aerobe	6.578854844	0.392867709	27.58744122
GB_GCA_006218045.1	aerobe	6.431358993	1.152922516	25.66501343
GB_GCA_006218055.1	aerobe	6.326293155	0.602245022	23.24768175
GB_GCA_006226775.1	aerobe	7.911268749	3.5662464	30.70444827
GB_GCA_006227825.1	aerobe	7.54998611	1.727560734	36.54352523
GB_GCA_006844635.1	aerobe	6.480838911	1.848081677	28.14787739
GB_GCA_006969625.1	facultative	8.26888958	2.999037427	38.29961469
GB_GCA_007118445.1	aerobe	8.423458682	3.308480263	29.64102089
GB_GCA_007126715.1	aerobe	8.540190524	3.420314128	26.71201366
GB_GCA_007280205.1	anaerobe	6.992276901	0	24.8462503
GB_GCA_007280315.1	anaerobe	6.782841597	0	31.94812971
GB_GCA_007570905.1	aerobe	7.512006562	4.750110069	33.14876219
GB_GCA_007692585.1	aerobe	8.511184172	2.308455405	26.88660883
GB_GCA_007713595.1	anaerobe	7.082540925	3.364961887	33.90619105
GB_GCA_007994965.1	aerobe	8.071869644	1.448802184	31.78812323
GB_GCA_008015155.1	aerobe	7.79971714	1.736993038	31.83338968
